Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,24934.099609,24992.500000,24706.449219,24799.250000,24799.250000,0
2017-09-22,24704.550781,24709.699219,24340.000000,24368.849609,24368.849609,0
2017-09-25,24361.550781,24363.800781,24015.449219,24165.050781,24165.050781,0
2017-09-26,24105.599609,24236.949219,24017.400391,24199.150391,24199.150391,0
2017-09-27,24308.699219,24331.849609,23766.599609,23812.949219,23812.949219,0
2017-09-28,23804.050781,24074.199219,23611.099609,24008.150391,24008.150391,0
2017-09-29,24114.000000,24227.449219,24004.800781,24053.000000,24053.000000,0
2017-10-03,24200.599609,24226.800781,24007.250000,24103.400391,24103.400391,0
2017-10-04,24124.150391,24230.449219,24058.650391,24113.300781,24113.300781,0
2017-10-05,24114.750000,24188.300781,24033.349609,24058.050781,24058.050781,0
2017-10-06,24083.550781,24242.050781,24074.349609,24190.000000,24190.000000,0
2017-10-09,24209.550781,24311.099609,24156.050781,24251.900391,24251.900391,0
2017-10-10,24304.800781,24379.750000,24273.650391,24347.449219,24347.449219,0
2017-10-11,24411.449219,24460.250000,24054.250000,24107.449219,24107.449219,0
2017-10-12,24151.449219,24393.400391,23978.400391,24361.250000,24361.250000,0
2017-10-13,24411.099609,24779.750000,24387.800781,24689.150391,24689.150391,0
2017-10-16,24815.400391,24878.650391,24516.550781,24703.050781,24703.050781,0
2017-10-17,24697.250000,24809.150391,24571.849609,24645.599609,24645.599609,0
2017-10-18,24354.750000,24454.650391,24270.050781,24313.750000,24313.750000,0
2017-10-19,24238.400391,24255.300781,23923.699219,24009.750000,24009.750000,0
2017-10-23,24085.449219,24151.000000,23912.550781,24088.900391,24088.900391,94700
2017-10-24,24141.949219,24293.250000,24032.650391,24222.150391,24222.150391,0
2017-10-25,24980.650391,25157.800781,24560.750000,25035.900391,25035.900391,0
2017-10-26,24953.949219,25186.050781,24864.599609,25022.199219,25022.199219,0
2017-10-27,24887.599609,24995.699219,24798.650391,24839.550781,24839.550781,0
2017-10-30,24873.650391,25064.849609,24808.550781,24988.550781,24988.550781,0
2017-10-31,25042.099609,25078.650391,24948.099609,25019.349609,25019.349609,0
2017-11-01,25197.300781,25549.349609,25171.750000,25490.449219,25490.449219,0
